symbol	CD-coefficient
A1CF	0.00442761
A2M	0.03603886
A4GALT	-0.00151217
A4GNT	0.00358992
AAAS	-0.00299786
AACS	-0.00225233
AADAC	-0.00982224
AAGAB	-0.01557797
AAK1	0.00693373
AAMDC	-0.0116239
AAMP	-0.01524676
AANAT	0.00162803
AAR2	0.00246333
AARS	-0.01499468
AARSD1	-0.0048794
AASDHPPT	-0.00137082
AASS	0.00131344
AATF	-0.00231088
AATK	-0.00325815
ABAT	-0.00238006
ABCA1	0.0064662
ABCA11P	-0.00224896
ABCA12	-0.00732699
ABCA2	0.01216797
ABCA3	-0.00667919
ABCA4	-0.00641032
ABCA5	-0.00463869
ABCA6	-0.00223234
ABCA7	-0.00534895
ABCA8	-0.00843005
ABCB1	0.00593248
ABCB11	-0.0108924
ABCB4	-0.01703384
ABCB6	-0.00818211
ABCB7	0.00199229
ABCB8	-0.00266795
ABCB9	-0.00387976
ABCC1	0.00432513
ABCC10	0.00262292
ABCC2	0.0011317
ABCC3	0.0187657
ABCC4	0.01015755
ABCC5	-0.00358735
ABCC6	-0.00388511
ABCC8	0.00262009
ABCC9	0.00323832
ABCD1	-0.00506256
ABCD2	-0.00014343
ABCD3	-0.00200691
ABCD4	0.00335614
ABCE1	0.00584057
ABCF1	-0.00293511
ABCF2	-0.00954632
ABCF3	-0.00902613
ABCG1	-0.00155874
ABCG2	-0.01234082
ABCG4	-0.00088497
ABCG5	-0.00665907
ABHD10	1.147e-05
ABHD11	-0.01357688
ABHD14A	0.00710631
ABHD17A	-0.00546674
ABHD17B	-0.00499226
ABHD18	0.00782953
ABHD2	0.01214273
ABHD3	-0.00520485
ABHD4	0.00171846
ABHD5	-0.00598028
ABHD6	-0.00137553
ABHD8	0.00295968
ABI1	0.0093439
ABI2	-0.00225151
ABI3BP	0.00290229
ABITRAM	-0.00386786
ABL1	-0.00149188
ABL2	0.00026196
ABLIM1	-0.00280278
ABLIM3	-0.00377095
ABO	-0.0018508
ABR	0.00168618
ABRAXAS2	0.00036038
ABT1	-0.00196554
ABTB2	-0.00281926
ACAA1	-0.00811975
ACAA2	0.00920356
ACACA	0.00779811
ACACB	0.00743595
ACAD10	-0.00078191
ACAD8	0.00124177
ACADL	-2.797e-05
ACADM	-0.00521432
ACADS	-0.00217878
ACADSB	-0.02014718
ACADVL	-0.01803779
ACAN	0.00055591
ACAP1	-0.01003021
ACAP2	0.00113845
ACAT1	-0.00056055
ACAT2	-0.01505036
ACBD3	-0.00264335
ACBD4	0.00263145
ACD	0.0035084
ACE	0.00724222
ACE2	0.00777678
ACHE	-0.0046962
ACIN1	0.00569303
ACKR1	-0.00103394
ACKR2	0.00628249
ACKR3	0.00796997
ACKR4	0.00188769
ACLY	0.00020306
ACO1	0.01127445
ACO2	-0.00554546
ACOT11	0.00543986
ACOT13	-0.01260938
ACOT7	-0.00122535
ACOT8	-0.00286104
ACOT9	0.01264879
ACOX1	-0.00798774
ACOX2	-0.01453865
ACOX3	0.00331738
ACOXL	-0.0026567
ACP1	-0.00314952
ACP2	-0.00429542
ACP5	-0.0297913
ACP6	0.00115352
ACPP	-0.00543316
ACR	0.00278996
ACRV1	0.00250744
ACSBG1	0.01877914
ACSBG2	0.00696524
ACSF2	0.00314297
ACSL1	0.0194892
ACSL3	-0.00492981
ACSL4	0.01905414
ACSL5	0.00725125
ACSL6	0.00042981
ACSM1	-0.00577736
ACSM3	0.01401589
ACSM5	-0.00185119
ACSS3	-0.00394307
ACTA1	-0.02341275
ACTA2	0.02892523
ACTB	0.0211573
ACTC1	-0.01750589
ACTG2	0.01996731
ACTL6A	-0.00547105
ACTL6B	0.00813063
ACTL7A	-0.00018846
ACTL7B	0.00296961
ACTL8	0.00195162
ACTN1	0.0139502
ACTN2	-0.00565903
ACTN3	-0.00758661
ACTN4	0.01767224
ACTR10	-0.00255553
ACTR1A	-0.005184
ACTR1B	0.0039937
ACTR2	-0.00197094
ACTR3	0.00957192
ACTR3B	0.00140097
ACTR5	0.00738023
ACTR6	-0.00431166
ACTR8	0.00104742
ACVR1	-0.00243095
ACVR1B	-0.000724
ACVR2A	0.00716788
ACVR2B	0.00213534
ACVR2B-AS1	-0.00218243
ACVRL1	0.00082399
ACYP1	-0.00381913
ACYP2	0.01183318
ADA	-0.00540177
ADA2	-0.01044011
ADAM10	0.00286097
