symbol	CD-coefficient
A1CF	-0.00290701
A2M	0.00384335
A4GALT	-0.00324485
A4GNT	0.0024773
AAAS	0.00348959
AACS	-0.00759087
AADAC	-0.0050355
AAGAB	0.00300263
AAK1	0.0030288
AAMDC	-0.01939325
AAMP	-0.00868169
AANAT	0.00294937
AAR2	0.00021055
AARS	-0.00578073
AARSD1	0.00678051
AASDHPPT	-0.00492987
AASS	-0.0004029
AATF	-0.00332315
AATK	0.01187639
ABAT	0.00486199
ABCA1	-0.00559562
ABCA11P	0.0027592
ABCA12	-0.00240342
ABCA2	0.00742171
ABCA3	0.00400151
ABCA4	4.642e-05
ABCA5	0.0005348
ABCA6	0.00367796
ABCA7	0.00083595
ABCA8	-0.00316202
ABCB1	-0.00744914
ABCB11	-0.0022427
ABCB4	-0.01243762
ABCB6	0.00708879
ABCB7	-0.00076813
ABCB8	0.00139507
ABCB9	-0.00026964
ABCC1	-0.01062344
ABCC10	0.00384383
ABCC2	0.0014991
ABCC3	0.01083861
ABCC4	-0.00564195
ABCC5	-0.02817731
ABCC6	0.01225038
ABCC8	-0.00146713
ABCC9	0.0005865
ABCD1	-0.0010463
ABCD2	-0.00752118
ABCD3	-0.00186166
ABCD4	0.00443409
ABCE1	0.00080649
ABCF1	-0.00263343
ABCF2	0.00021654
ABCF3	7.63e-06
ABCG1	-0.00482899
ABCG2	0.01974434
ABCG4	-0.00042483
ABCG5	-0.0029923
ABHD10	0.00082011
ABHD11	0.02463944
ABHD14A	-0.01794175
ABHD17A	0.0029987
ABHD17B	-0.01385886
ABHD18	-0.00011576
ABHD2	-0.0190284
ABHD3	-0.00742279
ABHD4	-0.00376889
ABHD5	0.01340908
ABHD6	-0.00263762
ABHD8	-0.00305745
ABI1	0.00091665
ABI2	0.00258841
ABI3BP	-0.00455068
ABITRAM	0.00515659
ABL1	0.02088781
ABL2	0.00317966
ABLIM1	-0.01359583
ABLIM3	-0.00366674
ABO	0.00766367
ABR	-0.0088003
ABRAXAS2	0.01055441
ABT1	0.0008631
ABTB2	-0.00336222
ACAA1	-0.00863306
ACAA2	-0.01243493
ACACA	-0.0028049
ACACB	-0.00699201
ACAD10	-7.724e-05
ACAD8	0.01389363
ACADL	-0.00167409
ACADM	-0.00083637
ACADS	-0.00172211
ACADSB	0.01786576
ACADVL	0.00828472
ACAN	-0.00052929
ACAP1	-0.00105311
ACAP2	0.00154464
ACAT1	-0.00020189
ACAT2	-0.00547453
ACBD3	0.00344433
ACBD4	-0.00451758
ACD	0.00068707
ACE	-0.00018438
ACE2	0.00979029
ACHE	-0.0037712
ACIN1	0.00995488
ACKR1	0.00112038
ACKR2	0.0015149
ACKR3	-0.05268703
ACKR4	0.00018094
ACLY	-0.00965568
ACO1	-0.01329687
ACO2	0.02522111
ACOT11	0.00068584
ACOT13	-0.00019304
ACOT7	0.00642518
ACOT8	-0.00672672
ACOT9	-0.0045032
ACOX1	0.01987805
ACOX2	0.00907681
ACOX3	0.00995348
ACOXL	0.00354677
ACP1	-0.00465237
ACP2	-0.00519238
ACP5	-0.00795138
ACP6	-0.02202651
ACPP	-0.00047723
ACR	0.00190876
ACRV1	0.00263789
ACSBG1	0.00076055
ACSBG2	-0.00080371
ACSF2	0.02095234
ACSL1	0.00702237
ACSL3	-0.00371747
ACSL4	0.02002541
ACSL5	0.00914265
ACSL6	-0.00526921
ACSM1	0.0104679
ACSM3	0.01201776
ACSM5	-0.00087977
ACSS3	-0.02536313
ACTA1	0.02382206
ACTA2	0.02687708
ACTB	-0.01611459
ACTC1	0.01563138
ACTG2	0.04375708
ACTL6A	-0.0002512
ACTL6B	0.00089662
ACTL7A	0.00227383
ACTL7B	0.00128853
ACTL8	0.00314825
ACTN1	-0.00632886
ACTN2	0.00796739
ACTN3	0.00378829
ACTN4	-0.00927323
ACTR10	-0.00124471
ACTR1A	0.01141934
ACTR1B	-0.00205289
ACTR2	0.00273666
ACTR3	-0.00105954
ACTR3B	0.0013465
ACTR5	-0.01057045
ACTR6	0.0041906
ACTR8	-0.00499974
ACVR1	-0.00725668
ACVR1B	0.01855084
ACVR2A	-0.00565034
ACVR2B	-0.00809816
ACVR2B-AS1	-0.00256424
ACVRL1	0.00406352
ACYP1	0.01118954
ACYP2	-0.02043442
ADA	0.00208953
ADA2	-0.02671912
ADAM10	-0.00512705
ADAM11	0.0015145
ADAM12	0.01500547
ADAM15	-0.01347817
ADAM17	0.00446418
ADAM18	0.00042075
ADAM19	0.00345605
ADAM2	-0.00078719
ADAM20	0.00059562
ADAM22	-0.00063613
ADAM23	-3.191e-05
ADAM28	-0.0006151
ADAM29	-0.00094063
ADAM30	0.00160372
ADAM3A	0.00184287
ADAM5	-0.00249982
ADAM7	-0.0041841
ADAM8	-0.00582159
