symbol	CD-coefficient
A1CF	-0.00556234
A2M	0.01946824
A4GALT	-0.00139328
A4GNT	0.00316182
AAAS	-0.00168677
AACS	0.0100792
AADAC	-0.0096419
AAGAB	-0.01301919
AAK1	-0.00609496
AAMDC	-0.01096563
AAMP	-0.00715839
AANAT	0.00201866
AAR2	-0.0009668
AARS	-0.00745912
AARSD1	0.00126319
AASDHPPT	-0.00417572
AASS	-0.00894473
AATF	-0.00084771
AATK	0.00404712
ABAT	-0.02797696
ABCA1	-9.971e-05
ABCA11P	0.00373028
ABCA12	-0.00605545
ABCA2	-0.00910676
ABCA3	-0.01025217
ABCA4	0.01056726
ABCA5	-0.00239265
ABCA6	0.00398728
ABCA7	-0.01122078
ABCA8	0.00850061
ABCB1	-0.00630419
ABCB11	0.00124299
ABCB4	0.01140881
ABCB6	-0.00878489
ABCB7	0.00531161
ABCB8	2.347e-05
ABCB9	-0.00768149
ABCC1	-0.00951814
ABCC10	-0.00055009
ABCC2	-0.00189655
ABCC3	-0.00714829
ABCC4	-0.0077525
ABCC5	-0.0218296
ABCC6	-0.001312
ABCC8	0.00482962
ABCC9	-0.0019902
ABCD1	0.0033813
ABCD2	-0.00104558
ABCD3	-0.00231528
ABCD4	0.00134049
ABCE1	-0.00990229
ABCF1	-0.00398244
ABCF2	-0.00964781
ABCF3	-0.01569646
ABCG1	-0.00470238
ABCG2	0.02474631
ABCG4	-0.00367915
ABCG5	0.00136217
ABHD10	-0.00146112
ABHD11	-0.00705559
ABHD14A	0.00163534
ABHD17A	-0.00523828
ABHD17B	0.00897713
ABHD18	-0.00511678
ABHD2	-0.01126705
ABHD3	-0.00900736
ABHD4	-0.01289021
ABHD5	0.00118973
ABHD6	-0.00258561
ABHD8	0.00174542
ABI1	0.01799307
ABI2	0.01040627
ABI3BP	-0.00899283
ABITRAM	-0.00807235
ABL1	-0.00821908
ABL2	0.00278808
ABLIM1	-0.00339378
ABLIM3	-0.00202667
ABO	0.00436846
ABR	0.00482308
ABRAXAS2	0.0032042
ABT1	0.0081124
ABTB2	0.00038869
ACAA1	-0.01192094
ACAA2	0.01257332
ACACA	-0.01049426
ACACB	0.00252203
ACAD10	0.00160813
ACAD8	-0.0045308
ACADL	-0.00274679
ACADM	0.01628163
ACADS	0.00263546
ACADSB	-0.00372108
ACADVL	-0.01073476
ACAN	0.00658219
ACAP1	7.957e-05
ACAP2	-0.00213039
ACAT1	0.00963452
ACAT2	-0.00523353
ACBD3	0.00753124
ACBD4	0.0009384
ACD	-0.01934985
ACE	0.00375372
ACE2	-0.00575038
ACHE	-0.00238889
ACIN1	0.00036598
ACKR1	0.00560667
ACKR2	0.0023815
ACKR3	-0.01637682
ACKR4	0.00633774
ACLY	-0.00712515
ACO1	-0.00649039
ACO2	-0.0060576
ACOT11	0.00431415
ACOT13	-0.00044787
ACOT7	-0.00922192
ACOT8	-0.00778302
ACOT9	0.00169969
ACOX1	0.00595449
ACOX2	0.01795937
ACOX3	-0.00325978
ACOXL	-0.00154179
ACP1	0.00288348
ACP2	-0.00773429
ACP5	-0.00297433
ACP6	-0.01131067
ACPP	-0.00327941
ACR	9.977e-05
ACRV1	0.00236593
ACSBG1	-0.00868379
ACSBG2	0.00088981
ACSF2	0.00330635
ACSL1	-0.02047076
ACSL3	-0.01021638
ACSL4	-0.00378719
ACSL5	0.00383231
ACSL6	-0.01069096
ACSM1	-0.00439196
ACSM3	-0.01947255
ACSM5	0.00448879
ACSS3	-0.00713888
ACTA1	0.0211631
ACTA2	0.03473668
ACTB	0.00962718
ACTC1	0.02569855
ACTG2	0.03424297
ACTL6A	-0.00394487
ACTL6B	2.871e-05
ACTL7A	0.00281179
