symbol	CD-coefficient
A1CF	-3.338e-05
A2M	0.01488811
A4GALT	-0.00802911
A4GNT	-0.00138665
AAAS	-0.00052899
AACS	-0.00926576
AADAC	-0.00131952
AAGAB	0.01262554
AAK1	0.00337868
AAMDC	0.00041028
AAMP	0.0028831
AANAT	-0.00369556
AAR2	0.00372752
AARS	-0.00468081
AARSD1	0.00342902
AASDHPPT	-0.00629506
AASS	-0.0032998
AATF	-0.0038587
AATK	0.00160338
ABAT	-0.00322079
ABCA1	-0.02484345
ABCA11P	0.00422417
ABCA12	0.00090095
ABCA2	-0.00953077
ABCA3	0.00214304
ABCA4	-0.00147884
ABCA5	0.0182759
ABCA6	-0.000658
ABCA7	-0.00837956
ABCA8	0.00978668
ABCB1	0.0120693
ABCB11	0.00215382
ABCB4	0.00577326
ABCB6	0.00729711
ABCB7	0.00966255
ABCB8	-0.00193104
ABCB9	0.00151519
ABCC1	-0.01035314
ABCC10	-0.00244402
ABCC2	0.00380229
ABCC3	0.01260757
ABCC4	0.02725817
ABCC5	0.00520793
ABCC6	0.00046164
ABCC8	-0.00616318
ABCC9	0.00276843
ABCD1	-0.01413753
ABCD2	0.00289744
ABCD3	0.01124013
ABCD4	0.00275201
ABCE1	0.00832128
ABCF1	0.00043726
ABCF2	0.00824064
ABCF3	-0.00129771
ABCG1	0.01825257
ABCG2	0.007683
ABCG4	-0.00406015
ABCG5	-0.00438405
ABHD10	0.00333842
ABHD11	-0.00091837
ABHD14A	0.00480651
ABHD17A	-0.01144278
ABHD17B	-0.00130798
ABHD18	-0.00239573
ABHD2	0.00940919
ABHD3	0.00611844
ABHD4	0.00070472
ABHD5	0.00774608
ABHD6	0.00713133
ABHD8	-0.00414882
ABI1	-0.00281793
ABI2	0.01381334
ABI3BP	-0.0007669
ABITRAM	0.01015692
ABL1	0.00338668
ABL2	-0.0030893
ABLIM1	0.01349739
ABLIM3	0.00031217
ABO	-0.00625492
ABR	-0.01023138
ABRAXAS2	0.00882691
ABT1	-0.00109604
ABTB2	-0.02168918
ACAA1	0.00525724
ACAA2	0.00283969
ACACA	-0.00058796
ACACB	-0.0007308
ACAD10	-0.00259062
ACAD8	0.00481546
ACADL	-0.00207774
ACADM	0.00243302
ACADS	0.00402065
ACADSB	0.00381463
ACADVL	-0.00342815
ACAN	-0.00345212
ACAP1	0.00469183
ACAP2	0.00035953
ACAT1	0.00281243
ACAT2	0.00679459
ACBD3	0.00166995
ACBD4	-0.00620408
ACD	-0.01422526
ACE	-0.00497849
ACE2	-0.00467974
ACHE	0.00173975
ACIN1	-0.01103612
ACKR1	0.00927352
ACKR2	0.00559988
ACKR3	-0.01413637
ACKR4	-0.00502758
ACLY	0.00289756
ACO1	-0.008873
ACO2	-0.00888355
ACOT11	-0.01065359
ACOT13	0.01741125
ACOT7	0.00905803
ACOT8	0.01083833
ACOT9	0.03287689
ACOX1	0.00352113
ACOX2	-0.00522274
ACOX3	0.00380763
ACOXL	0.00119889
ACP1	0.00918663
ACP2	0.00057788
ACP5	0.02678272
ACP6	0.02386846
ACPP	-0.00167053
ACR	-0.00240071
ACRV1	0.00161795
ACSBG1	0.00579441
ACSBG2	0.00416335
ACSF2	0.00105909
ACSL1	-0.01080046
ACSL3	0.01999463
ACSL4	0.00502719
ACSL5	0.00987904
ACSL6	0.00702166
ACSM1	0.00118177
ACSM3	0.01305964
ACSM5	0.00311712
ACSS3	-0.00142486
ACTA1	-0.019191
ACTA2	0.01684656
ACTB	0.00160687
ACTC1	-0.03497176
ACTG2	-0.03340357
ACTL6A	0.01203189
ACTL6B	0.00564045
ACTL7A	-0.00434704
ACTL7B	-0.00019447
ACTL8	0.00065632
ACTN1	0.0049795
ACTN2	-0.00906673
ACTN3	-0.00384242
ACTN4	-0.00267507
ACTR10	0.01256388
ACTR1A	0.00325593
ACTR1B	0.00897958
ACTR2	0.00080995
ACTR3	0.00392547
ACTR3B	0.00491656
ACTR5	0.00992908
ACTR6	0.00988095
ACTR8	-0.00203541
ACVR1	0.00155666
ACVR1B	-0.0134983
ACVR2A	0.00618327
ACVR2B	0.00384549
ACVR2B-AS1	-0.00099525
ACVRL1	0.00165952
ACYP1	0.01876917
ACYP2	0.01301152
ADA	-0.00517656
ADA2	0.00048638
ADAM10	-0.00206455
ADAM11	-0.00085534
ADAM12	0.00671946
ADAM15	0.00102737
ADAM17	-0.01031375
ADAM18	-0.00161585
ADAM19	-0.017547
ADAM2	-0.0039972
ADAM20	-0.0023039
ADAM22	-0.00861697
ADAM23	-0.00512524
ADAM28	0.00489553
ADAM29	0.0004511
ADAM30	0.00137601
ADAM3A	0.00059332
ADAM5	0.00415041
ADAM7	0.00706172
ADAM8	0.00438814
ADAM9	0.00609747
ADAMDEC1	-0.01199445
ADAMTS1	-0.02247224
ADAMTS12	-0.00037251
ADAMTS13	-0.00449335
ADAMTS2	0.00616469
ADAMTS20	-0.00063647
ADAMTS3	-0.00650727
ADAMTS5	-0.02235255
ADAMTS6	0.00100457
ADAMTS7	0.00011414
ADAMTS8	-0.00456132
ADAMTS9	-0.00681926
ADAMTSL2	-0.00487773
ADAMTSL3	-0.00818029
ADAMTSL4	-0.00090857
ADAP1	-0.01144439
ADAP2	-0.0053888
ADAR	0.00097021
ADARB1	-0.01356941
ADARB2	-0.00072981
ADAT1	-0.00775061
ADCK2	0.00018385
ADCY1	-0.00101154
ADCY10	0.00070112
ADCY2	-0.00218392
