symbol	CD-coefficient
A1CF	-0.00251332
A2M	0.03206954
A4GALT	0.00331671
A4GNT	-0.00330199
AAAS	0.00111244
AACS	-0.00973155
AADAC	0.00930195
AAGAB	-0.01020881
AAK1	-0.00299733
AAMDC	-0.00892321
AAMP	-0.0024895
AANAT	-0.00284476
AAR2	-0.00466457
AARS	0.00127571
AARSD1	-0.00176408
AASDHPPT	-0.00464611
AASS	0.00942039
AATF	-0.00652338
AATK	0.00702047
ABAT	0.03072612
ABCA1	0.02903521
ABCA11P	-0.00172493
ABCA12	0.00806727
ABCA2	0.00325973
ABCA3	0.00793241
ABCA4	-0.00220322
ABCA5	0.00433157
ABCA6	0.00619013
ABCA7	0.00508599
ABCA8	0.00942387
ABCB1	0.01897051
ABCB11	0.00328656
ABCB4	0.01114167
ABCB6	-0.00538365
ABCB7	-0.01170589
ABCB8	0.00119704
ABCB9	-0.00154133
ABCC1	0.00550677
ABCC10	0.00112508
ABCC2	-0.00144919
ABCC3	-0.01076116
ABCC4	-0.00907055
ABCC5	-0.00105832
ABCC6	-7.514e-05
ABCC8	-0.00907602
ABCC9	0.00614133
ABCD1	-0.00241339
ABCD2	-0.00077273
ABCD3	0.01257251
ABCD4	-0.00041883
ABCE1	0.00451737
ABCF1	-0.00130303
ABCF2	-0.00092741
ABCF3	-0.00084257
ABCG1	0.01380282
ABCG2	0.00685924
ABCG4	0.00730932
ABCG5	0.0024492
ABHD10	-0.01407536
ABHD11	0.00477269
ABHD14A	-0.01127882
ABHD17A	-0.00095629
ABHD17B	-0.00279837
ABHD18	0.00377348
ABHD2	0.02494621
ABHD3	-0.0018029
ABHD4	-0.01096246
ABHD5	-0.00214879
ABHD6	-0.02640395
ABHD8	-0.00589135
ABI1	-0.00657626
ABI2	-0.00226098
ABI3BP	0.00780217
ABITRAM	-0.00286362
ABL1	-0.00433425
ABL2	-0.00125286
ABLIM1	0.00441825
ABLIM3	-0.00020474
ABO	-0.00201842
ABR	0.00657616
ABRAXAS2	0.00190468
ABT1	-0.00798991
ABTB2	-0.00181611
ACAA1	-0.00264722
ACAA2	-0.00167827
ACACA	-0.00032152
ACACB	-0.00443835
ACAD10	0.00057088
ACAD8	-0.00497019
ACADL	-0.00256949
ACADM	-0.00869224
ACADS	-0.00219617
ACADSB	0.01373674
ACADVL	-0.00883438
ACAN	-0.00545219
ACAP1	0.00033249
ACAP2	-0.00263561
ACAT1	-0.00644716
ACAT2	0.00519704
ACBD3	-0.0054196
ACBD4	-0.00401771
ACD	-0.00287272
ACE	0.00269092
ACE2	0.0003044
ACHE	-0.00152912
ACIN1	0.00205108
ACKR1	-0.00050248
ACKR2	-0.00441302
ACKR3	0.0141279
ACKR4	-0.01309899
